2024-01-29T20:13:50.649751
,Long Name,Sector,Price,Trailing PE,Forward PE,Market Cap,Dividend Yield,Payout Ratio
MMM,3M Company,Industrials,96.22,,10.1792145,53042.249728,6.25,61.67
AOS,A. O. Smith Corporation,Industrials,81.34,40.258705,20.029703,12034.42176,1.5800001,59.7
ABT,Abbott Laboratories,Healthcare,113.23,34.3589,21.834309,194456.092672,1.96,62.580000000000005
ABBV,AbbVie Inc.,Healthcare,165.27,45.041092,15.899419,290254.749696,3.77,160.27
ACN,Accenture plc,Technology,371.92,34.358334,27.405466,232657.928192,1.39,43.1
ADBE,Adobe Inc.,Technology,620.7,51.808437,32.760406,277496.365056,,
AMD,"Advanced Micro Devices, Inc.",Technology,175.29,1611.3636,49.64986,286347.395072,,
AES,The AES Corporation,Utilities,17.23,,9.026316,11484.136448,3.9100002,76.25999999999999
AFL,Aflac Incorporated,Financial Services,85.08,11.6863,13.267496,49853.46048,2.34,22.74
A,"Agilent Technologies, Inc.",Healthcare,133.71,31.262531,21.65124,38380.597248,0.72000003,21.48
APD,"Air Products and Chemicals, Inc.",Basic Materials,266.17,25.451895,18.430681,58201.509888,2.6800001,66.7
ABNB,"Airbnb, Inc.",Consumer Cyclical,142.11,18.224115,33.774265,95895.3472,,
AKAM,"Akamai Technologies, Inc.",Technology,123.78,37.17825,18.3125,18561.386496,,
ALB,Albemarle Corporation,Basic Materials,120.07,4.248139,11.534166,14063.583232,1.34000005,5.6500003
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,123.81,90.108696,33.79076,21608.921088,4.0900003,355.07002
ALGN,"Align Technology, Inc.",Healthcare,264.55,55.87315,28.820065,20240.96768,,
ALLE,Allegion plc,Industrials,125.72,19.757912,17.68697,10962.03776,1.4400001,27.85
LNT,Alliant Energy Corporation,Utilities,48.84,17.893772,15.912052,12465.494016,3.9300002,65.37999500000001
ALL,The Allstate Corporation,Financial Services,158.88,,13.153654,41443.36896,2.25,107.79
GOOGL,Alphabet Inc.,Communication Services,151.1,29.154215,24.705357,1914015.449088,,
GOOG,Alphabet Inc.,Communication Services,152.87,29.518232,23.161144,1913839.550464,,
MO,"Altria Group, Inc.",Consumer Defensive,40.42,8.204082,8.571428,71099.727872,9.75,77.55000600000001
